TID;Name;Use;Appearance;Category;TRL;PowerSource;PriceMin;PriceMax;PriceAvg;
1;Antigravity Recognizer;Low-gravity zones navigation;Circular pads with glowing halo;Navigation;6;Battery;50000;70000;60000;
2;Molecular Integrity Scanner;Analyze structural integrity of walls;Handheld with 3D structure display;Analysis;7;Battery;30000;45000;37500;
3;Subterranean Sonar Mapper;Map underground terrain;Dome-shaped emitters on shoulders;Mapping;5;Solar and Battery;40000;60000;50000;
4;Atmospheric Composition Monitor;Measure air quality;Spherical nodes on chest;Monitoring;8;Battery and Solar;25000;35000;30000;
5;Radiation Filtration System;Filter out harmful radiation;Layered plates with shimmering surface;Filtration;4;N/A (Passive system);75000;90000;82500;
6;Thermal Energy Converter;Convert heat to energy;Grid-like panels on forearms;Conversion;6;Thermal (Heat);65000;80000;72500;
7;Seismic Activity Detector;Predict seismic activities;Wrist bands with crystals;Detection;7;Battery;20000;30000;25000;
8;Luminosity Enhancer;Amplify light in darkness;Helmet lights with adjustable brightness;General;5;Various;20000;50000;35000;
9;Ore Purity Spectrometer;Determine ore purity;Finger-mounted lenses;General;5;Various;20000;50000;35000;
10;Magnetic Field Disruptor;Disable electronic threats;Coil wraps around boots;General;5;Various;20000;50000;35000;
11;Hydrophobic Barrier Projector;Repel water;Belt-mounted protective field emitter;General;5;Various;20000;50000;35000;
12;Antigravity Recognizer;Low-gravity zones navigation;Circular pads with glowing halo;Navigation;6;Battery;50000;70000;60000;
13;Molecular Integrity Scanner;Analyze structural integrity of walls;Handheld with 3D structure display;Analysis;7;Battery;30000;45000;37500;
14;Subterranean Sonar Mapper;Map underground terrain;Dome-shaped emitters on shoulders;Mapping;5;Solar and Battery;40000;60000;50000;
15;Atmospheric Composition Monitor;Measure air quality;Spherical nodes on chest;Monitoring;8;Battery and Solar;25000;35000;30000;
16;Radiation Filtration System;Filter out harmful radiation;Layered plates with shimmering surface;Filtration;4;N/A (Passive system);75000;90000;82500;
17;Thermal Energy Converter;Convert heat to energy;Grid-like panels on forearms;Conversion;6;Thermal (Heat);65000;80000;72500;
18;Seismic Activity Detector;Predict seismic activities;Wrist bands with crystals;Detection;7;Battery;20000;30000;25000;
19;Luminosity Enhancer;Amplify light in darkness;Helmet lights with adjustable brightness;General;5;Various;20000;50000;35000;
